year,month,day,hour,NCP kW,CP kW,kWh
2018,1,26,8,5232,,
2018,1,26,9,4920,,
2018,1,26,10,4536,,
2018,1,26,11,4368,,
2018,1,26,12,4992,,
2018,1,26,13,3960,,
2018,1,26,14,4584,,
2018,1,26,15,4560,,
2018,1,26,16,4008,,
2018,1,26,17,3864,,
2018,1,26,18,4200,,
2018,1,26,19,4368,,
2018,1,26,20,4392,,
2018,1,26,21,4440,,
2018,1,26,22,4512,,
2018,1,26,23,4320,,
2018,1,26,24,4056,,
2018,1,27,1,3960,,
2018,1,27,2,3768,,
2018,1,27,3,3768,,
2018,1,27,4,3792,,
2018,1,27,5,3816,,
2018,1,27,6,3816,,
2018,1,27,7,3864,,
2018,1,27,8,3768,,
2018,1,27,9,3792,,
2018,1,27,10,3480,,
2018,1,27,11,3240,,
2018,1,27,12,2952,,
2018,1,27,13,2808,,
2018,1,27,14,2736,,
2018,1,27,15,2736,,
2018,1,27,16,2784,,
2018,1,27,17,2736,,
2018,1,27,18,2904,,
2018,1,27,19,3048,,
2018,1,27,20,2976,,
2018,1,27,21,2976,,
2018,1,27,22,2976,,
2018,1,27,23,2856,,
2018,1,27,24,2784,,
2018,1,28,1,2760,,
2018,1,28,2,2592,,
2018,1,28,3,2568,,
2018,1,28,4,2616,,
2018,1,28,5,2568,,
2018,1,28,6,2664,,
2018,1,28,7,2808,,
2018,1,28,8,2856,,
2018,1,28,9,2976,,
2018,1,28,10,2976,,
2018,1,28,11,2856,,
2018,1,28,12,2832,,
2018,1,28,13,2880,,
2018,1,28,14,2928,,
2018,1,28,15,2904,,
2018,1,28,16,2928,,
2018,1,28,17,2880,,
2018,1,28,18,2976,,
2018,1,28,19,2544,,
2018,1,28,20,2544,,
2018,1,28,21,2592,,
2018,1,28,22,3168,,
2018,1,28,23,3096,,
2018,1,28,24,3024,,
2018,1,29,1,2904,,
2018,1,29,2,2952,,
2018,1,29,3,2904,,
2018,1,29,4,2784,,
2018,1,29,5,2712,,
2018,1,29,6,3144,,
2018,1,29,7,3864,,
2018,1,29,8,4056,,
2018,1,29,9,4152,,
2018,1,29,10,4200,,
2018,1,29,11,4752,,
2018,1,29,12,5304,,
2018,1,29,13,4296,,
2018,1,29,14,4728,,
2018,1,29,15,5208,,
2018,1,29,16,5136,,
2018,1,29,17,5328,,
2018,1,29,18,4680,,
2018,1,29,19,4872,,
2018,1,29,20,4752,,
2018,1,29,21,4704,,
2018,1,29,22,4656,,
2018,1,29,23,4224,,
2018,1,29,24,4032,,
2018,1,30,1,3960,,
2018,1,30,2,3768,,
2018,1,30,3,3672,,
2018,1,30,4,3720,,
2018,1,30,5,3864,,
2018,1,30,6,4296,,
2018,1,30,7,4944,,
2018,1,30,8,4896,,
2018,1,30,9,4944,,
2018,1,30,10,4848,,
2018,1,30,11,4680,,
2018,1,30,12,5256,,
2018,1,30,13,4728,,
2018,1,30,14,4848,,
2018,1,30,15,5136,,
2018,1,30,16,5328,,
2018,1,30,17,5448,,
2018,1,30,18,4776,,
2018,1,30,19,5040,,
2018,1,30,20,5088,,
2018,1,30,21,5280,,
2018,1,30,22,5304,,
2018,1,30,23,4848,,
2018,1,30,24,4704,,
2018,1,31,1,4560,,
2018,1,31,2,4560,,
2018,1,31,3,4512,,
2018,1,31,4,4296,,
2018,1,31,5,4176,,
2018,1,31,6,4512,,
2018,1,31,7,4848,,
2018,1,31,8,4680,,
2018,1,31,9,4536,,
2018,1,31,10,4248,,
2018,1,31,11,4152,,
2018,1,31,12,3936,,
2018,1,31,13,3984,,
2018,1,31,14,4848,,
2018,1,31,15,4248,,
2018,1,31,16,4488,,
2018,1,31,17,4176,,
2018,1,31,18,3768,,
2018,1,31,19,4008,,
2018,1,31,20,4104,,
2018,1,31,21,4056,,
2018,1,31,22,3960,,
2018,1,31,23,3816,,
2018,1,31,24,3792,,
2018,2,1,1,3720,,
